--- MENU DUMP FROM IIKO API ---
Generated at: 2026-02-05T11:16:01.418Z
Format: [Group Name] Product Name | Price | ID | Type
[Unknown Group] СЕЙЧАС | Price: 0 | ID: 310163aa-36d5-480f-be53-0a1324287db1 | Type: Modifier
[Unknown Group] Слоено-дрожжевой пирог с капустой и рубленым яйцом | Price: 0 | ID: aec74f4e-6312-4b33-8d4b-22456b816c70 | Type: Modifier
[Unknown Group] Слоено-дрожжевой пирог с натуральной вишней | Price: 0 | ID: cddfe618-ca79-4143-be29-cccc6385f6f8 | Type: Modifier
[Unknown Group] Слоено-дрожжевой пирог с фаршем из отборного мяса | Price: 0 | ID: d58f3b3c-674d-4a13-8672-eee67393f3e3 | Type: Modifier
[Unknown Group] Слоено-дрожжевой пирог с яблоком и брусникой | Price: 0 | ID: 6d5ea594-1486-4927-a15f-c3e49aad30af | Type: Modifier
[Unknown Group] Трафарет Рисунок к празднику | Price: 0 | ID: ecd105d3-db72-443d-8110-740f546aac3d | Type: Modifier
[Десерты от Машеньки] Десерт Новая Зеландия  | Price: 550 | ID: 1961beed-852b-4355-98d2-7ba3d315f8a9 | Type: Dish
[Десерты от Машеньки] Десерт Новая Зеландия  | Price: 550 | ID: 1961beed-852b-4355-98d2-7ba3d315f8a9 | Type: Dish
[Десерты от Машеньки] Торт Медовик 650 гр.  | Price: 1690 | ID: 0858b947-efb0-45ac-83f5-1a785673a5c7 | Type: Dish
[Десерты от Машеньки] Торт Медовик 650 гр.  | Price: 1690 | ID: 0858b947-efb0-45ac-83f5-1a785673a5c7 | Type: Dish
[Десерты от Машеньки] Торт Москва 650 гр.  | Price: 1800 | ID: d2ca6fc7-1919-430c-836e-ece37ff5e883 | Type: Dish
[Десерты от Машеньки] Торт Москва 650 гр.  | Price: 1800 | ID: d2ca6fc7-1919-430c-836e-ece37ff5e883 | Type: Dish
[Десерты от Машеньки] Торт Наполеон 650 гр.  | Price: 1650 | ID: 05de0ca7-6f3e-4ac5-b303-8dd0ab369cf5 | Type: Dish
[Десерты от Машеньки] Торт Наполеон 650 гр.  | Price: 1650 | ID: 05de0ca7-6f3e-4ac5-b303-8dd0ab369cf5 | Type: Dish
[Десерты от Машеньки] Торт Прага 650 гр.  | Price: 1750 | ID: 843ca18d-8a91-48f0-a583-b08d5fe7c652 | Type: Dish
[Десерты от Машеньки] Торт Прага 650 гр.  | Price: 1750 | ID: 843ca18d-8a91-48f0-a583-b08d5fe7c652 | Type: Dish
[Десерты от Машеньки] Торт Птичка 650 гр.  | Price: 1700 | ID: 7dbe062f-55b6-483e-82a9-7d46bb6b3d07 | Type: Dish
[Десерты от Машеньки] Торт Птичка 650 гр.  | Price: 1700 | ID: 7dbe062f-55b6-483e-82a9-7d46bb6b3d07 | Type: Dish
[Десерты от Машеньки] Торт Сметанник 650 гр.  | Price: 1750 | ID: 87fbdabe-e58c-4b1e-9232-c8a541200113 | Type: Dish
[Десерты от Машеньки] Торт Сметанник 650 гр.  | Price: 1750 | ID: 87fbdabe-e58c-4b1e-9232-c8a541200113 | Type: Dish
[Для Эклеров] Начинк Ягодная  | Price: 0 | ID: 73136aa2-fc67-4131-a469-fce68a475380 | Type: Modifier
[Для Эклеров] Начинка Белковая  | Price: 0 | ID: 1d157f74-8521-4c3f-adfe-9c49e5e73379 | Type: Modifier
[Для Эклеров] Начинка Вагильный пломбир | Price: 0 | ID: ede85e14-3060-4e7a-bcac-25ba40386032 | Type: Modifier
[Для Эклеров] Начинка Заворная  | Price: 0 | ID: ec8f1319-8463-49f8-81ca-5ff89ecf7bd0 | Type: Modifier
[Для Эклеров] Начинка Сникерс  | Price: 0 | ID: e44616a1-e95a-4216-af71-cd6b44c464f0 | Type: Modifier
[Для Эклеров] Начинка Фисташка | Price: 0 | ID: 7d8978f5-2763-456e-a5f1-82115a7f5e88 | Type: Modifier
[Комбо-наборы пироги] Вкусное путешествие  | Price: 3500/4500 | ID: ea7586e1-f6bc-49cf-b7e5-8ee7be75f1ba | Type: Dish
[Комбо-наборы пироги] Десерт Новая Зеландия  | Price: 550 | ID: 1961beed-852b-4355-98d2-7ba3d315f8a9 | Type: Dish
[Комбо-наборы пироги] Европейский набор  | Price: 6900 | ID: 6b240630-cf64-406c-8897-0bb78fd87a86 | Type: Dish
[Комбо-наборы пироги] Мини-набор "Вкусное путешествие" | Price: 1400/1400 | ID: e9cdac3a-8999-4215-a742-970e22e98dd4 | Type: Dish
[Комбо-наборы пироги] Набор Вкусное Путешествие | Price: 0 | ID: f7b8c64b-3cea-4029-8508-7745adafc07c | Type: Dish
[Комбо-наборы пироги] Набор Европейский | Price: 0 | ID: ce2cae3f-bf96-4825-bcd8-023bf900064d | Type: Dish
[Комбо-наборы пироги] Набор Кругосветка | Price: 14900 | ID: 2f7b8363-9f14-466e-aad8-81aad76644e0 | Type: Dish
[Комбо-наборы пироги] Набор Кругосветка | Price: 0 | ID: 05efb714-2fa0-4540-9737-b40f776156a0 | Type: Dish
[Комбо-наборы пироги] Набор Скандинавский | Price: 0 | ID: 27e8589b-159b-49ce-a442-e03b7bf14f01 | Type: Dish
[Комбо-наборы пироги] Набор Скандинавский  | Price: 5000 | ID: 7127b767-b2c0-4496-b83b-2d35c1169a7f | Type: Dish
[Комбо-наборы пироги] Торт Медовик 650 гр.  | Price: 1690 | ID: 0858b947-efb0-45ac-83f5-1a785673a5c7 | Type: Dish
[Комбо-наборы пироги] Торт Москва 650 гр.  | Price: 1800 | ID: d2ca6fc7-1919-430c-836e-ece37ff5e883 | Type: Dish
[Комбо-наборы пироги] Торт Наполеон 650 гр.  | Price: 1650 | ID: 05de0ca7-6f3e-4ac5-b303-8dd0ab369cf5 | Type: Dish
[Комбо-наборы пироги] Торт Прага 650 гр.  | Price: 1750 | ID: 843ca18d-8a91-48f0-a583-b08d5fe7c652 | Type: Dish
[Комбо-наборы пироги] Торт Птичка 650 гр.  | Price: 1700 | ID: 7dbe062f-55b6-483e-82a9-7d46bb6b3d07 | Type: Dish
[Комбо-наборы пироги] Торт Сметанник 650 гр.  | Price: 1750 | ID: 87fbdabe-e58c-4b1e-9232-c8a541200113 | Type: Dish
[ЛИНИЯ ДЕСЕРТОВ] Десерт "Павлова" | Price: 550 | ID: 46cff329-308a-46d6-bc77-d8261de86bba | Type: Dish
